cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_V,Right_VPL,R_postCingMean,0.971535,-2.00E-06,3.00E-06,0.000013,0.651188,0.749403703
Left_V,Right_VPL,R_tpjMean,0.884267,-2.00E-06,2.00E-06,0.000013,0.795101,0.690188072
Left_V,Right_CM,R_somatoMean,0.320897,0,7.00E-06,0.000076,0.016608,0.61407534
Left_V,Right_CM,R_antCingMean,0.729028,-6.00E-06,2.00E-06,0.000076,0.338527,0.797200155
Left_V,Right_CM,R_earlyAudMean,0.002921,0,8.00E-06,0.000076,0.0009,0.245827434
Left_V,Right_CM,R_assocAudMean,0.651258,-1.00E-06,3.00E-06,0.000076,0.508682,0.305722237
Left_V,Right_CM,R_insOperMean,0.500955,-2.00E-06,4.00E-06,0.000076,0.426224,0.792898243
Left_V,Right_CM,R_postCingMean,0.954467,-2.00E-06,2.00E-06,0.000076,0.585621,0.749403703
Left_V,Right_CM,R_tpjMean,0.983258,-3.00E-06,1.00E-06,0.000076,0.6023,0.690188072
Left_V,Right_VLa,R_somatoMean,0.494329,0,7.00E-06,0.000029,0.074675,0.61407534
Left_V,Right_VLa,R_antCingMean,0.644416,-6.00E-06,1.00E-06,0.000029,0.272945,0.797200155
Left_V,Right_VLa,R_earlyAudMean,0.012077,-1.00E-06,7.00E-06,0.000029,0.010567,0.245827434
Left_V,Right_VLa,R_assocAudMean,0.33745,-3.00E-06,2.00E-06,0.000029,0.799668,0.305722237
Left_V,Right_VLa,R_insOperMean,0.712201,-3.00E-06,4.00E-06,0.000029,0.788097,0.792898243
Left_V,Right_VLa,R_postCingMean,0.639335,-3.00E-06,2.00E-06,0.000029,0.719069,0.749403703
Left_V,Right_VLa,R_tpjMean,0.59773,-3.00E-06,0,0.000029,0.164532,0.690188072
Left_V,Right_PuA,R_somatoMean,0.692557,0,5.00E-06,0.000357,0.122904,0.61407534
Left_V,Right_PuA,R_antCingMean,0.749641,-5.00E-06,2.00E-06,0.000357,0.314644,0.797200155
Left_V,Right_PuA,R_earlyAudMean,0.015228,0,6.00E-06,0.000357,0.008963,0.245827434
Left_V,Right_PuA,R_assocAudMean,0.4528,-1.00E-06,2.00E-06,0.000357,0.836596,0.305722237
Left_V,Right_PuA,R_insOperMean,0.742166,-2.00E-06,2.00E-06,0.000357,0.836751,0.792898243
Left_V,Right_PuA,R_postCingMean,0.614176,-2.00E-06,1.00E-06,0.000357,0.655762,0.749403703
Left_V,Right_PuA,R_tpjMean,0.985794,-2.00E-06,1.00E-06,0.000357,0.550593,0.690188072
Left_V,Right_MDm,R_somatoMean,0.227628,0,9.00E-06,0,0.031629,0.61407534
Left_V,Right_MDm,R_antCingMean,0.278063,-9.00E-06,3.00E-06,0,0.080596,0.797200155
Left_V,Right_MDm,R_earlyAudMean,0.004901,0,9.00E-06,0,0.005896,0.245827434
Left_V,Right_MDm,R_assocAudMean,0.426484,-3.00E-06,3.00E-06,0,0.901843,0.305722237
Left_V,Right_MDm,R_insOperMean,0.554686,-3.00E-06,5.00E-06,0,0.567515,0.792898243
Left_V,Right_MDm,R_postCingMean,0.674784,-4.00E-06,3.00E-06,0,0.780475,0.749403703
Left_V,Right_MDm,R_tpjMean,0.68728,-4.00E-06,1.00E-06,0,0.344683,0.690188072
Left_V,Right_Pf,R_somatoMean,0.207441,0,8.00E-06,0.000047,0.005747,0.61407534
Left_V,Right_Pf,R_antCingMean,0.929492,-6.00E-06,3.00E-06,0.000047,0.844136,0.797200155
Left_V,Right_Pf,R_earlyAudMean,0.002223,0,8.00E-06,0.000047,0.000682,0.245827434
Left_V,Right_Pf,R_assocAudMean,0.972589,0,4.00E-06,0.000047,0.142689,0.305722237
Left_V,Right_Pf,R_insOperMean,0.305708,-1.00E-06,5.00E-06,0.000047,0.172217,0.792898243
Left_V,Right_Pf,R_postCingMean,0.635869,-1.00E-06,3.00E-06,0.000047,0.219137,0.749403703
Left_V,Right_Pf,R_tpjMean,0.719326,-2.00E-06,2.00E-06,0.000047,0.94332,0.690188072
Left_V,Right_VAmc,R_somatoMean,0.363316,-1.00E-06,7.00E-06,0.000019,0.035741,0.61407534
Left_V,Right_VAmc,R_antCingMean,0.421279,-8.00E-06,1.00E-06,0.000019,0.105099,0.797200155
Left_V,Right_VAmc,R_earlyAudMean,0.005226,0,8.00E-06,0.000019,0.003231,0.245827434
