"","cer","thal","neo","model","direct effect","direct lower CI","direct higher CI","index of mod_med","indirect lower CI","indirect higher CI"
"114","Right_IX","Left_Pf","L_insOperMean","14","NaN","NaN","NaN","-0.0000066","-0.0000150","-0.0000014"
"115","Right_IX","Left_CM","L_insOperMean","58","NaN","NaN","NaN","-0.0000069","-0.0000130","-0.0000012"
"116","Right_IX","Left_CM","L_insOperMean","14","NaN","NaN","NaN","-0.0000069","-0.0000159","-0.0000012"
"117","Right_IX","Left_VPL","L_insOperMean","58","NaN","NaN","NaN","-0.0000059","-0.0000107","-0.0000008"
"118","Right_IX","Left_VPL","L_insOperMean","14","NaN","NaN","NaN","-0.0000056","-0.0000111","-0.0000006"
"119","Right_CrusI","Left_Pf","L_tpjMean","58","NaN","NaN","NaN","-0.0000024","-0.0000039","-0.0000010"
"120","Right_CrusI","Left_Pf","L_tpjMean","14","NaN","NaN","NaN","-0.0000028","-0.0000047","-0.0000010"
"121","Right_V","Left_Pt","L_insOperMean","58","NaN","NaN","NaN","-0.0000053","-0.0000093","-0.0000004"
"122","Right_V","Left_Pt","L_insOperMean","14","NaN","NaN","NaN","-0.0000047","-0.0000095","-0.0000005"
"123","Left_Fastigial","Right_LP","R_somatoMean","7","NaN","NaN","NaN","-0.0001708","-0.0004100","-0.0000054"
"124","Left_Fastigial","Right_MDl","R_somatoMean","7","NaN","NaN","NaN","-0.0001688","-0.0003370","-0.0000161"
"125","Left_Interposed","Right_LP","R_antCingMean","58","NaN","NaN","NaN","-0.0000341","-0.0000655","-0.0000040"
"126","Left_Interposed","Right_LP","R_antCingMean","14","NaN","NaN","NaN","-0.0000468","-0.0000770","-0.0000135"
"127","Left_Dentate","Right_AV","R_somatoMean","58","NaN","NaN","NaN","-0.0000134","-0.0000225","-0.0000031"
"128","Left_Dentate","Right_AV","R_somatoMean","14","NaN","NaN","NaN","-0.0000127","-0.0000218","-0.0000034"
"129","Left_Dentate","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000093","-0.0000174","-0.0000019"
"130","Left_Dentate","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000099","-0.0000188","-0.0000028"
"131","Left_Dentate","Right_Pf","R_somatoMean","58","NaN","NaN","NaN","-0.0000111","-0.0000185","-0.0000040"
"132","Left_Dentate","Right_Pf","R_somatoMean","14","NaN","NaN","NaN","-0.0000112","-0.0000197","-0.0000042"
"133","Left_Dentate","Right_LGN","R_assocAudMean","58","NaN","NaN","NaN","-0.0000075","-0.0000152","-0.0000005"
"134","Left_Dentate","Right_LGN","R_assocAudMean","14","NaN","NaN","NaN","-0.0000073","-0.0000141","-0.0000015"
"135","Left_Dentate","Right_LGN","R_assocAudMean","5","-0.0000147","-0.0000291","-0.0000004","NaN","NaN","NaN"
"136","Left_X","Right_LP","R_antCingMean","58","NaN","NaN","NaN","-0.0000196","-0.0000348","-0.0000048"
"137","Left_X","Right_LP","R_antCingMean","14","NaN","NaN","NaN","-0.0000212","-0.0000364","-0.0000069"
"138","Left_X","Right_LP","R_somatoMean","58","NaN","NaN","NaN","-0.0000190","-0.0000365","-0.0000028"
"139","Left_X","Right_LP","R_somatoMean","14","NaN","NaN","NaN","-0.0000191","-0.0000368","-0.0000035"
"140","Left_X","Right_AV","R_somatoMean","58","NaN","NaN","NaN","-0.0000206","-0.0000359","-0.0000026"
"141","Left_X","Right_AV","R_somatoMean","14","NaN","NaN","NaN","-0.0000201","-0.0000368","-0.0000052"
"142","Left_X","Right_MDl","R_assocAudMean","58","NaN","NaN","NaN","-0.0000179","-0.0000361","-0.0000026"
"143","Left_X","Right_MDl","R_assocAudMean","14","NaN","NaN","NaN","-0.0000192","-0.0000384","-0.0000025"
"144","Left_X","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000204","-0.0000354","-0.0000044"
"145","Left_X","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000193","-0.0000358","-0.0000051"
"146","Left_X","Right_PuM","R_somatoMean","58","NaN","NaN","NaN","-0.0000145","-0.0000288","-0.0000008"
"147","Left_X","Right_PuM","R_somatoMean","14","NaN","NaN","NaN","-0.0000158","-0.0000357","-0.0000024"
"148","Left_X","Right_LGN","R_assocAudMean","58","NaN","NaN","NaN","-0.0000147","-0.0000290","-0.0000020"
"149","Left_X","Right_LGN","R_assocAudMean","14","NaN","NaN","NaN","-0.0000139","-0.0000292","-0.0000020"
"150","Left_IX","Right_LP","R_somatoMean","58","NaN","NaN","NaN","-0.0000043","-0.0000076","-0.0000005"
"151","Left_IX","Right_LP","R_somatoMean","14","NaN","NaN","NaN","-0.0000041","-0.0000076","-0.0000006"
"152","Left_IX","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000041","-0.0000075","-0.0000008"
"153","Left_VIIIb","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000034","-0.0000059","-0.0000004"
"154","Left_VIIIb","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000033","-0.0000059","-0.0000009"
"155","Left_VIIIa","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000025","-0.0000044","-0.0000003"
"156","Left_VIIIa","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000023","-0.0000043","-0.0000006"
"157","Left_VIIb","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000026","-0.0000044","-0.0000003"
"158","Left_VIIb","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000022","-0.0000041","-0.0000006"
"159","Left_VI","Right_AV","R_somatoMean","58","NaN","NaN","NaN","-0.0000018","-0.0000031","-0.0000005"
"160","Left_VI","Right_AV","R_somatoMean","14","NaN","NaN","NaN","-0.0000016","-0.0000028","-0.0000004"
"161","Left_VI","Right_Pt","R_somatoMean","58","NaN","NaN","NaN","-0.0000015","-0.0000029","-0.0000002"
"162","Left_VI","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000020","-0.0000035","-0.0000007"
"163","Left_VI","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000017","-0.0000031","-0.0000005"
"164","Left_V","Right_LP","R_antCingMean","58","NaN","NaN","NaN","-0.0000027","-0.0000048","-0.0000007"
"165","Left_V","Right_LP","R_antCingMean","14","NaN","NaN","NaN","-0.0000028","-0.0000047","-0.0000007"
"166","Left_V","Right_AV","R_somatoMean","58","NaN","NaN","NaN","-0.0000043","-0.0000072","-0.0000010"
"167","Left_V","Right_AV","R_somatoMean","14","NaN","NaN","NaN","-0.0000036","-0.0000065","-0.0000010"
"168","Left_V","Right_Pt","R_somatoMean","58","NaN","NaN","NaN","-0.0000038","-0.0000069","-0.0000005"
"169","Left_V","Right_MDl","R_somatoMean","58","NaN","NaN","NaN","-0.0000045","-0.0000075","-0.0000014"
"170","Left_V","Right_MDl","R_somatoMean","14","NaN","NaN","NaN","-0.0000039","-0.0000067","-0.0000013"
"171","Left_I_IV","Right_Pf","R_somatoMean","58","NaN","NaN","NaN","-0.0000054","-0.0000092","-0.0000006"
"172","Left_I_IV","Right_Pf","R_somatoMean","14","NaN","NaN","NaN","-0.0000048","-0.0000086","-0.0000011"
"173","Left_I_IV","Right_MDm","R_somatoMean","58","NaN","NaN","NaN","-0.0000059","-0.0000110","-0.0000009"
"174","Left_I_IV","Right_MDm","R_somatoMean","14","NaN","NaN","NaN","-0.0000056","-0.0000110","-0.0000008"
"175","Left_I_IV","Right_PuM","R_somatoMean","58","NaN","NaN","NaN","-0.0000041","-0.0000080","-0.0000001"
"176","Left_I_IV","Right_PuM","R_somatoMean","14","NaN","NaN","NaN","-0.0000041","-0.0000086","-0.0000007"
"177","Left_Interposed","Right_VAmc","R_tpjMean","5","-0.0000866","-0.0001700","-0.0000032","NaN","NaN","NaN"
"178","Left_Dentate","Right_LP","R_antCingMean","58","NaN","NaN","NaN","-0.0000104","-0.0000185","-0.0000037"
"179","Left_Dentate","Right_LP","R_antCingMean","14","NaN","NaN","NaN","-0.0000113","-0.0000189","-0.0000044"
"180","Left_Dentate","Right_MDl","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000151","-0.0000270","-0.0000031"
"181","Left_Dentate","Right_Pf","R_earlyAudMean","14","NaN","NaN","NaN","-0.0000132","-0.0000331","-0.0000003"
"182","Left_Dentate","Right_PuA","R_earlyAudMean","58","NaN","NaN","NaN","-0.0000191","-0.0000338","-0.0000036"
